States,Mass Shooting Count,Total_Victims,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rates,Unemployment Count,Unemployment Rates,Latitude,Longitude,Per Capita Mass Shooting,Hate Group Count,Per Capita Hate Group,GRADE number
Oregon,2.0,9.0,41,3939233.0,39.1,51243.0,27684.0,636947.0,16.16931519409997,184016.0,4.671366227892587,43.9336,-120.5583,0.5077130497231314,9.0,0.22847087237540914,3.0
Pennsylvania,15.0,46.0,42,12779559.0,40.5,53599.0,29291.0,1666569.0,13.040896012139386,514993.0,4.029818243336879,40.8781,-77.7996,1.1737494228087213,40.0,0.3129998460823257,3.0
Rhode Island,1.0,5.0,44,1053661.0,39.7,56852.0,31118.0,144223.0,13.687799016951372,48418.0,4.595216108406784,41.6762,-71.5562,0.9490718551792274,3.0,0.28472155655376824,1.0
South Carolina,11.0,36.0,45,4777576.0,38.6,45483.0,24604.0,830901.0,17.391685658166402,217977.0,4.562501988456071,33.9169,-80.8964,2.3024228186008973,22.0,0.46048456372017943,5.5
South Dakota,1.0,5.0,46,843190.0,36.8,50957.0,26747.0,114907.0,13.627652130599271,20220.0,2.3980360298390635,44.4443,-100.2263,1.1859723194060652,5.0,0.5929861597030326,5.5
Tennessee,11.0,61.0,47,6499615.0,38.4,45219.0,25227.0,1117594.0,17.194772305744262,266297.0,4.09711959862238,35.858000000000004,-86.3505,1.6924079349315304,41.0,0.630806593929025,5.5
Texas,19.0,90.0,48,26538614.0,34.1,53207.0,26999.0,4472451.0,16.852617095979465,912068.0,3.4367582270875188,31.4757,-99.3312,0.7159379159740595,84.0,0.3165199207464263,5.5
Utah,0.0,11.0,49,2903379.0,30.1,60727.0,24686.0,351601.0,12.110062103500782,81870.0,2.819817874276834,39.3055,-111.6703,0.0,3.0,0.10332788106547579,5.5
Vermont,1.0,0.0,50,626604.0,42.4,55176.0,29894.0,69233.0,11.048924041340305,18957.0,3.025355727062068,44.0687,-72.6658,1.5959042712781917,3.0,0.47877128138345754,5.5
Virginia,5.0,40.0,51,8256630.0,37.6,65015.0,34152.0,921822.0,11.164627699194465,276030.0,3.343131519760483,37.5215,-78.8537,0.6055739448176799,32.0,0.38756732468331506,4.5
Washington,1.0,16.0,53,6985464.0,37.4,61062.0,31762.0,908512.0,13.005750226470282,277806.0,3.976915491941552,47.3826,-120.4472,0.14315441322151257,8.0,0.11452353057721006,2.0
West Virginia,0.0,0.0,54,1851420.0,41.8,41751.0,23450.0,323384.0,17.466809259919412,63341.0,3.4212118265979625,38.6409,-80.6227,0.0,8.0,0.4321007658986075,5.0
Wisconsin,3.0,9.0,55,5742117.0,39.0,53357.0,28340.0,724348.0,12.61465065933,193763.0,3.3744174840045926,44.6243,-89.9941,0.5224553940645932,9.0,0.15673661821937798,4.5
Wyoming,0.0,0.0,56,579679.0,36.8,58840.0,29803.0,64995.0,11.212239877587423,15002.0,2.587984039442519,42.9957,-107.5512,0.0,2.0,0.3450185361208531,5.5
