,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS
217,2014-04-05,Maricopa,Arizona,85035,33.47,-112.19,1,3,04,013
218,2014-04-05,Solano,California,94533,38.28,-122.0,0,4,06,095
219,2014-04-02,Bell,Texas,76544,31.09,-97.71,4,16,48,027
220,2014-03-30,Chickasaw,Mississippi,38850,34.03,-89.01,0,5,28,017
221,2014-03-30,Mecklenburg,North Carolina,28216,35.19,-80.83,0,5,37,119
222,2014-03-23,Tarrant,Texas,76011,32.69,-97.12,1,3,48,439
223,2014-03-23,Los Angeles,California,90802,33.75,-118.2,1,3,06,037
224,2014-03-23,San Francisco,California,94102,37.77,-122.41,0,7,06,075
225,2014-03-21,Charleston,South Carolina,29418,32.89,-80.05,0,4,45,019
226,2014-03-16,Denton,Texas,76226,33.11,-97.17,3,1,48,121
227,2014-03-16,Burke,Georgia,30830,33.09,-82.01,0,4,13,033
228,2014-03-14,Kings,New York,11211,40.64,-73.94,0,4,36,047
229,2014-03-09,Sandusky,Ohio,43420,41.35,-83.11,3,1,39,143
230,2014-03-09,Cook,Texas,60644,41.83,-87.68,0,6,,
231,2014-03-08,Cook,Illinois,60644,41.83,-87.68,0,6,17,031
232,2014-03-08,Contra Costa,California,94801,37.96,-122.38,1,3,06,013
233,2014-03-05,Anderson,South Carolina,29669,34.64,-82.46,3,2,45,007
234,2014-03-01,Allegheny,Pennsylvania,15219,40.43,-79.97,1,4,42,003
235,2014-03-01,Wayne,Michigan,48213,42.38,-83.1,0,4,26,163
236,2014-02-25,Washington,Virginia,24340,36.79,-81.77,5,1,51,191
237,2014-02-22,Los Angeles,California,90744,33.77,-118.26,0,4,06,037
238,2014-02-20,Marion,Indiana,46237,39.77,-86.14,4,0,18,097
239,2014-02-20,Washington,California,15419,40.06,-79.91,4,2,,
240,2014-02-16,Tarrant,Texas,76164,32.75,-97.33,1,4,48,439
241,2014-02-16,Orange,Florida,32811,28.5,-81.37,1,6,12,095
242,2014-02-16,Duval,Florida,32205,30.33,-81.65,1,4,12,031
243,2014-02-16,Dallas,Texas,75215,32.79,-96.76,1,7,48,113
244,2014-02-16,Allen,Indiana,46816,41.07,-85.13,0,5,18,003
