,Incident Date,State,City Or County,Address,# Killed,# Injured,ST,Zipcode,Latitude,Longitude,Population At Incident,Density,Type
663,2016-11-03,New Jersey,Orange,234 Cleveland Street,2,2,NJ,07050,40.76,-74.23,30421.0,13639.0,Urban
664,2016-11-02,Arkansas,Little Rock,2111 Bragg Street,1,4,AR,72206,34.72,-92.35,24000.0,224.54,Rural
665,2016-11-01,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,TN,38118,35.1,-90.0,40702.0,1328.79,Suburban
666,2016-10-31,Louisiana,Shreveport,700 Block of W 68th St,0,4,LA,71106,32.47,-93.79,35826.0,1072.95,Suburban
667,2016-10-30,Ohio,Toledo,742 Junction Ave,0,4,OH,43607,41.66,-83.58,22082.0,3330.28,Urban
668,2016-10-30,New York,New York (Manhattan),135 Ridge Street,0,4,NY,10002,40.71,-73.99,78096.0,92722.1,Urban
669,2016-10-30,New York,Newburgh,119 First Street,2,5,NY,12550,41.5,-74.02,54612.0,1568.17,Suburban
670,2016-10-30,Maryland,Capitol Heights,6860 Walker Mill Road,3,3,MD,20743,38.87,-76.9,39108.0,3969.68,Urban
671,2016-10-30,Texas,San Antonio,2900 block of Aspen Meadow,0,5,TX,78238,29.45,-98.5,25243.0,2447.34,Suburban
672,2016-10-29,Ohio,Dayton,2010 Cornell Ridge Dr,1,3,OH,45406,39.77,-84.19,20214.0,4381.05,Urban
673,2016-10-29,California,Los Angeles,1600 block of Century Boulevard,0,5,CA,90047,33.95,-118.3,48306.0,10273.94,Urban
674,2016-10-29,California,Riverside,3500 block of Madison Street,0,4,CA,92504,33.9,-117.4,57004.0,2297.62,Suburban
675,2016-10-28,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,MS,39213,32.32,-90.2,21653.0,777.25,Rural
676,2016-10-28,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,FL,33056,25.93,-80.26,34751.0,5781.5,Urban
677,2016-10-27,Georgia,Jackson,600 block of Moccasin Gap Road,4,0,GA,30233,33.29,-83.96,22363.0,149.75,Rural
678,2016-10-25,Ohio,Dayton,3300 block of Riverside Dr,1,3,OH,45405,39.77,-84.19,17400.0,4839.85,Urban
679,2016-10-25,Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,VA,24013,37.27,-79.95,7789.0,3842.48,Urban
680,2016-10-23,Oklahoma,Wellston,NaN,1,5,OK,NaN,39.1234054,-82.53293769999999,NaN,,
681,2016-10-22,California,Oakland,77th and Bancroft Avenues,0,7,CA,94605,37.75,-122.13,43116.0,4356.41,Urban
682,2016-10-18,California,San Francisco,325 La Grande Ave,0,4,CA,94108,37.79,-122.4,14704.0,50992.59,Urban
683,2016-10-17,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,IL,60636,41.83,-87.68,35779.0,10459.1,Urban
684,2016-10-15,Alabama,Mobile,1800 block of St Stephens Road,0,5,AL,36617,30.68,-88.04,13859.0,2941.04,Suburban
685,2016-10-15,Illinois,Rockford,7801 East State St,1,5,IL,61108,42.27,-89.06,27369.0,2680.0,Suburban
686,2016-10-15,California,Los Angeles,2918 Rimpau Blvd,4,11,CA,90016,34.02,-118.35,47079.0,13122.69,Urban
687,2016-10-14,Illinois,Chicago,3300 block of W Maypole Ave,1,6,IL,60624,41.83,-87.68,38134.0,10779.35,Urban
688,2016-10-13,Illinois,Chicago,2700 block of West Lexington,0,4,IL,60612,41.83,-87.68,35559.0,8933.01,Urban
689,2016-10-09,Michigan,Grand Rapids,1850 28th Street SE,1,8,MI,49508,42.96,-85.65,41139.0,3246.64,Urban
690,2016-10-09,California,Sacramento,1696 Arden Way,1,3,CA,95815,38.6,-121.46,25206.0,3145.15,Urban
691,2016-10-08,New York,Brooklyn,7301 3rd Ave,0,4,NY,11209,40.64,-73.94,67822.0,31846.9,Urban
692,2016-10-04,Louisiana,New Orleans,3727 Ulloa Street,3,2,LA,70119,30.06,-89.93,36890.0,8104.7,Urban
693,2016-10-03,Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,MN,55401,44.96,-93.26,7909.0,7314.1,Urban
694,2016-10-02,Texas,San Antonio,2600 South Flores Street,1,4,TX,78204,29.45,-98.5,11723.0,4217.21,Urban
695,2016-10-01,Illinois,Pembroke Township,17250E Road,4,0,IL,60958,41.11,-87.56,2208.0,40.89,Rural
696,2016-10-01,California,Fresno,3200 block of East Clay Avenue,0,4,CA,93702,36.74,-119.75,46021.0,9233.85,Urban
697,2016-09-29,California,San Francisco,400 block of Ellis St,1,3,CA,94102,37.77,-122.41,29319.0,46462.0,Urban
698,2016-09-26,North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,NC,27105,36.1,-80.24,40596.0,1175.94,Suburban
699,2016-09-26,Texas,Humble,21219 Grand Linden Ct,0,4,TX,77338,29.99,-95.26,38300.0,1282.07,Suburban
700,2016-09-26,Texas,Houston,5450 Weslayan St,1,6,TX,77005,29.76,-95.38,27707.0,6639.27,Urban
701,2016-09-25,Illinois,Champaign,300 block of E. Green St,1,3,IL,61820,40.11,-88.26,36455.0,5656.31,Urban
702,2016-09-24,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,MD,21202,39.3,-76.61,22247.0,14405.05,Urban
703,2016-09-23,Washington,Burlington,201 Cascade Mall Dr,5,0,WA,98233,48.53,-122.31,14896.0,439.07,Rural
704,2016-09-18,Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,PA,19134,39.95,-75.16,64089.0,17296.18,Urban
705,2016-09-18,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,0,4,PA,15212,40.43,-79.97,26331.0,4484.73,Urban
706,2016-09-18,Virginia,Lynchburg,421 Rivermont Ave,1,3,VA,24504,37.4,-79.19,9593.0,304.45,Rural
707,2016-09-17,Florida,Miami,20582 SW 119th Ave,0,6,FL,33177,25.77,-80.2,57570.0,4247.13,Urban
708,2016-09-17,Florida,Orlando,3918 Columbia St,1,6,FL,32805,28.5,-81.37,22104.0,3277.24,Urban
709,2016-09-17,Indiana,Indianapolis,2016 West 76th Street,2,2,IN,46260,39.77,-86.14,32692.0,3188.94,Urban
710,2016-09-17,District of Columbia,Washington,2600 block of Birney Place SE,2,7,DC,20020,38.89,-77.03,54955.0,10811.8,Urban
711,2016-09-16,California,Los Angeles (Hollywood),555 N Heliotrope Dr,2,2,CA,90004,34.07,-118.31,63095.0,20400.26,Urban
712,2016-09-16,Pennsylvania,Philadelphia,5100 block of Sansom St,2,5,PA,19139,39.95,-75.16,43499.0,23316.95,Urban
713,2016-09-14,Texas,Humble,16000 block of Saybrook,1,3,TX,77396,29.99,-95.26,50196.0,1615.52,Suburban
714,2016-09-13,Indiana,Fort Wayne,1723 E Wayne St,3,2,IN,46803,41.07,-85.13,9766.0,1478.04,Suburban
715,2016-09-11,Indiana,Fort Wayne,3006 Holton Avenue,3,1,IN,46806,41.07,-85.13,25100.0,2562.82,Suburban
716,2016-09-11,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,LA,70125,30.06,-89.93,16752.0,6179.68,Urban
717,2016-09-11,Missouri,Kansas City,500 block of Westport Rd,0,6,MO,64111,39.09,-94.58,17507.0,5994.86,Urban
718,2016-09-11,Michigan,Saginaw,2207 Pierce Road,0,5,MI,48604,43.41,-83.94,13348.0,524.6,Rural
719,2016-09-11,North Carolina,New Bern,1100 block of Highway 70,0,5,NC,28560,35.11,-77.07,27774.0,246.48,Rural
720,2016-09-11,New Jersey,Jersey City,87 Van Wagenen Ave,1,3,NJ,07306,40.71,-74.06,55039.0,19349.38,Urban
721,2016-09-10,Florida,Miami,3451 Northwest 36 Street,1,3,FL,33142,25.77,-80.2,54571.0,7435.48,Urban
722,2016-09-08,Texas,Del Valle,8330 Linden Rd,4,0,TX,78617,30.16,-97.6,26126.0,320.07,Rural
723,2016-09-08,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,AR,71913,34.5,-93.05,44513.0,342.79,Rural
724,2016-09-05,Illinois,Chicago,2700 block of W Lexington Ave,2,3,IL,60612,41.83,-87.68,35559.0,8933.01,Urban
725,2016-09-05,Pennsylvania,Reading,600 block of Moss Street,0,4,PA,19604,40.33,-75.92,26083.0,12594.72,Urban
726,2016-09-04,Virginia,Roanoke,1020 Orange Ave NE,1,10,VA,24012,37.27,-79.95,29912.0,1419.59,Suburban
727,2016-09-03,North Carolina,Wilmington,600 block of North 30th St,1,3,NC,28405,34.21,-77.91,31569.0,1211.18,Suburban
728,2016-09-03,Illinois,Chicago,NaN,0,4,IL,NaN,41.8781136,-87.6297982,NaN,,
729,2016-08-30,Georgia,Atlanta,400 Merritts Avenue NE,0,4,GA,30308,33.77,-84.37,17036.0,9663.32,Urban
730,2016-08-30,Illinois,Chicago (Englewood),6800 block of South Ashland,0,4,IL,60636,41.83,-87.68,35779.0,10459.1,Urban
731,2016-08-29,New Jersey,Egg Harbor City,907 White Horse Pike,1,5,NJ,08215,39.56,-74.59,13466.0,116.03,Rural
732,2016-08-28,Texas,Lubbock,2200 block of 17th St,0,6,TX,79401,33.57,-101.87,7715.0,3055.23,Urban
733,2016-08-28,New York,Bronx,514 E 156th St,0,4,NY,10455,40.84,-73.87,42779.0,55709.27,Urban
734,2016-08-28,Missouri,Saint Louis,S Grand Blvd and Montana St,2,2,MO,63118,38.63,-90.24,28810.0,7961.84,Urban
735,2016-08-28,Alabama,Dadeville,512 E Columbus St,0,5,AL,36853,32.83,-85.76,7879.0,45.57,Rural
736,2016-08-27,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,AL,35020,33.37,-86.96,27134.0,1428.14,Suburban
