,Year,State,County,Incidents,Injured,Killed,Victims,Land Area,Density 2014,Density 2015,Density 2016,Density 2017,Population 2014,Poverty Count 2014,Poverty Rate 2014,Population 2015,Poverty Count 2015,Poverty Rate 2015,Population 2016,Poverty Count 2016,Poverty Rate 2016,Population 2017,Poverty Count 2017,Poverty Rate 2017,Pop Change 1,Pop Change 1 (%),Pop Change 2,Pop Change 2 (%),Pop Change 3,Pop Change 3 (%),Pop Change Avg,Pop Change Avg (%),Den Change 1,Den Change 1 (%),Den Change 2,Den Change 2 (%),Den Change 3,Den Change 3 (%),Den Change Avg,Den Change Avg (%),Poverty Rate Change 1,Poverty Rate Change 1 (%),Poverty Rate Change 2,Poverty Rate Change 2 (%),Poverty Rate Change 3,Poverty Rate Change 3 (%),Poverty Rate Change Avg,Poverty Rate Change Avg (%),Region
30,2016,Arizona,Maricopa,4,15,12,27,9.46,3554.0169133192385,3571.7758985200844,3725.2642706131073,3715.4334038054967,4023019.0,"687,643",17.1,4103850.0,"667,637",16.3,4175417.0,"624,923",15.0,4239908.0,"570,402",13.5,80831.0,2.009212484455091,71567.0,1.7438990216503925,64491.0,1.5445403417191557,173895.0,4.267958286678535,17.758985200845927,0.4996876951905165,153.48837209302292,4.2972565035958326,-9.830866807610619,-0.2638971652336579,167.97040169133197,4.708978477041796,-0.8000000000000007,-4.67836257309942,-1.3000000000000007,-7.975460122699403,-1.5,-10.0,-2.6000000000000014,-15.987156029132157,Southwest
31,2017,Arkansas,Craighead,1,6,1,7,117.22,473.77580617642036,482.9721890462379,485.3779218563385,488.1419552977308,98729.0,"21,974",22.3,100290.0,"17,306",17.3,101881.0,"16,548",16.2,103307.0,"15,354",14.9,1561.0,1.5810957266861863,1591.0,1.5863994416193066,1426.0,1.3996721665472336,3627.3333333333335,3.6340525571545705,9.196382869817512,1.9410832613079947,2.4057328101006306,0.498110008125181,0.0,0.0,11.602115679918143,2.4391932694331757,-5.0,-22.421524663677133,-1.1000000000000014,-6.3583815028901824,-1.299999999999999,-8.024691358024683,-6.533333333333334,-31.454803285908877,Southeast
32,2017,Arkansas,Pulaski,2,29,1,30,50.56,286.37262658227854,298.31882911392404,297.88370253164555,317.5237341772152,384653.0,"61,892",16.1,383767.0,"74,375",19.4,384374.0,"66,302",17.2,385180.0,"57,780",15.0,-886.0,-0.23033747299514573,607.0,0.15816888893520797,806.0,0.20969160244970908,-10.333333333333314,-0.0022713832433680636,11.946202531645497,4.171558809310014,-0.43512658227848533,-0.1458595770072293,0.0,0.0,11.511075949367012,4.0256992323027845,3.299999999999997,20.496894409937866,-2.1999999999999993,-11.340206185566998,-2.1999999999999993,-12.79069767441861,0.3666666666666648,4.893122332897998,Southeast
33,2016,Arkansas,Crittenden,1,4,0,4,18.89,1357.9671784012705,1339.5976707252514,1336.4743250397034,1311.4346214928532,48874.0,"13,323",27.3,48182.0,"12,473",25.9,48245.0,"12,314",25.5,47789.0,"10,070",21.1,-692.0,-1.4158857470229549,63.0,0.13075422356895672,-456.0,-99.8,-781.0,-34.551798190120664,-18.36950767601911,-1.3527210353968542,-3.1233456855479744,-0.23315550286505982,-25.039703546850205,-1.8735641289709264,-29.839421210517152,-2.210397914585556,-1.4000000000000021,-5.128205128205138,-0.3999999999999986,-1.5444015444015378,-4.399999999999999,-17.25490196078431,-3.2666666666666666,-12.424240659534778,Southeast
34,2016,Arkansas,Garland,1,4,1,5,126.69,339.7821453942695,348.2753177046334,351.3536980029995,360.17838819164893,95641.0,"17,929",18.7,95344.0,"18,354",19.3,95706.0,"17,037",17.8,96935.0,"15,384",15.9,-297.0,-0.31053627628317315,362.0,0.37967779828831283,1229.0,1.2841410151923611,474.6666666666667,0.49718852706926003,8.493172310363889,2.4995934676051803,3.0783802983661417,0.8838927543458226,0.0,0.0,11.57155260873003,3.383486221951003,0.6000000000000014,3.2085561497326296,-1.5,-7.7720207253886,-1.9000000000000004,-10.67415730337079,-1.5333333333333319,-8.121517010112902,Southeast
35,2016,Arkansas,Pulaski,1,4,1,5,50.56,286.37262658227854,298.31882911392404,297.88370253164555,317.5237341772152,384653.0,"61,892",16.1,383767.0,"74,375",19.4,384374.0,"66,302",17.2,385180.0,"57,780",15.0,-886.0,-0.23033747299514573,607.0,0.15816888893520797,806.0,0.20969160244970908,-10.333333333333314,-0.0022713832433680636,11.946202531645497,4.171558809310014,-0.43512658227848533,-0.1458595770072293,0.0,0.0,11.511075949367012,4.0256992323027845,3.299999999999997,20.496894409937866,-2.1999999999999993,-11.340206185566998,-2.1999999999999993,-12.79069767441861,0.3666666666666648,4.893122332897998,Southeast
36,2014,Arkansas,Craighead,1,4,4,8,117.22,473.77580617642036,482.9721890462379,485.3779218563385,488.1419552977308,98729.0,"21,974",22.3,100290.0,"17,306",17.3,101881.0,"16,548",16.2,103307.0,"15,354",14.9,1561.0,1.5810957266861863,1591.0,1.5863994416193066,1426.0,1.3996721665472336,3627.3333333333335,3.6340525571545705,9.196382869817512,1.9410832613079947,2.4057328101006306,0.498110008125181,0.0,0.0,11.602115679918143,2.4391932694331757,-5.0,-22.421524663677133,-1.1000000000000014,-6.3583815028901824,-1.299999999999999,-8.024691358024683,-6.533333333333334,-31.454803285908877,Southeast
37,2014,Arkansas,None,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,Southeast
38,2015,Arkansas,Mississippi,1,11,1,12,251.88,94.95394632364618,94.9936477687788,92.67905351754804,90.05478799428299,43294.0,"11,744",27.1,42702.0,"11,235",26.3,41835.0,"10,307",24.6,41187.0,"10,018",24.3,-592.0,-1.3673950200951595,-867.0,-2.0303498665167865,-648.0,-99.8,-1675.0,-36.66441155327861,0.039701445132621416,0.0418112639545285,-2.3145942512307585,-2.436577924520435,-2.624265523265052,-2.831562714187811,-3.149647980519821,-3.3386208986285104,-0.8000000000000007,-2.9520295202952127,-1.6999999999999993,-6.463878326996195,-0.3000000000000007,-1.2195121951219505,-2.6,-9.822411912332058,Southeast
39,2015,Arkansas,Pulaski,1,3,1,4,50.56,286.37262658227854,298.31882911392404,297.88370253164555,317.5237341772152,384653.0,"61,892",16.1,383767.0,"74,375",19.4,384374.0,"66,302",17.2,385180.0,"57,780",15.0,-886.0,-0.23033747299514573,607.0,0.15816888893520797,806.0,0.20969160244970908,-10.333333333333314,-0.0022713832433680636,11.946202531645497,4.171558809310014,-0.43512658227848533,-0.1458595770072293,0.0,0.0,11.511075949367012,4.0256992323027845,3.299999999999997,20.496894409937866,-2.1999999999999993,-11.340206185566998,-2.1999999999999993,-12.79069767441861,0.3666666666666648,4.893122332897998,Southeast
