,Incident Date,County,State,Zipcode,Latitude,Longitude,# Killed,# Injured,State FIPS,County FIPS,Density,Type,Population 2014,Population 2015,Population 2016,Population 2017,Land Area,Density 2014,Density 2015,Density 2016,Density 2017
91,2014-08-17,Suffolk,Massachusetts,02111,42.35,-71.06,0,4,25,025,27344.44,Urban,7505.0,7537.0,7564.0,7452.0,0.26,28865.384615384613,28988.46153846154,29092.30769230769,28661.53846153846
92,2014-08-17,San Mateo,California,94303,37.45,-122.1,1,3,06,081,5712.65,Urban,47159.0,47550.0,47743.0,47850.0,7.96,5924.497487437186,5973.618090452262,5997.86432160804,6011.306532663317
93,2014-08-17,Clark,Nevada,89106,36.18,-115.17,0,4,32,003,4866.62,Urban,26328.0,26878.0,26300.0,26803.0,5.29,4976.937618147448,5080.907372400756,4971.644612476371,5066.729678638942
94,2014-08-16,Union,New Jersey,07063,40.63,-74.4,1,3,34,039,7434.38,Urban,13960.0,13944.0,13877.0,14031.0,1.82,7670.32967032967,7661.538461538461,7624.725274725274,7709.340659340659
95,2014-08-16,Salt Lake,Utah,84101,40.75,-111.9,0,6,49,035,2901.04,Suburban,5087.0,4851.0,4236.0,4653.0,1.82,2795.054945054945,2665.3846153846152,2327.4725274725274,2556.5934065934066
96,2014-08-14,Shelby,Tennessee,38112,35.1,-90.0,1,3,47,157,3885.26,Urban,16858.0,17073.0,16896.0,16864.0,4.5,3746.222222222222,3794.0,3754.6666666666665,3747.5555555555557
97,2014-08-13,Montgomery,Tennessee,37040,36.56,-87.34,0,4,47,125,486.14,Rural,46655.0,47081.0,48520.0,49811.0,92.41,504.8696028568337,509.4794935613029,525.0514013634888,539.0217508927606
98,2014-08-13,None,Louisiana,NaN,29.95106579999999,-90.0715323,0,4,,,,,NaN,NaN,NaN,NaN,,,,,
99,2014-08-12,Cobb,Georgia,30339,33.86,-84.47,2,3,13,067,2230.56,Suburban,20060.0,21250.0,21656.0,22163.0,8.21,2443.3617539585866,2588.3069427527403,2637.758830694275,2699.512789281364
100,2014-08-12,Erie,New York,14215,42.88,-78.85,1,3,36,029,8139.8,Urban,39786.0,39501.0,39458.0,40088.0,4.92,8086.585365853659,8028.658536585366,8019.918699186992,8147.967479674797
101,2014-08-10,Orleans Parish,Louisiana,70117,30.06,-89.93,2,5,22,071,4268.07,Urban,22639.0,22963.0,24593.0,26468.0,5.48,4131.204379562044,4190.328467153285,4487.773722627737,4829.9270072992695
102,2014-08-10,Johnson,Georgia,31096,32.72,-82.72,0,6,13,167,43.3,Rural,7242.0,7178.0,6968.0,6752.0,170.8,42.40046838407494,42.02576112412178,40.79625292740047,39.531615925058546
103,2014-08-10,Riverside,California,92551,33.87,-117.22,0,7,06,065,5246.89,Urban,33050.0,33573.0,33670.0,33980.0,5.87,5630.323679727428,5719.420783645655,5735.945485519591,5788.7563884156725
104,2014-08-10,District Of Columbia,District of Columbia,20024,38.89,-77.03,0,6,,,4406.58,Urban,11245.0,11665.0,12183.0,12596.0,2.61,4308.429118773946,4469.348659003832,4667.816091954023,4826.053639846744
105,2014-08-09,Hennepin,Minnesota,55401,44.96,-93.26,1,8,27,053,7314.1,Urban,7583.0,7573.0,7909.0,8798.0,0.9,8425.555555555555,8414.444444444443,8787.777777777777,9775.555555555555
106,2014-08-08,Milwaukee,Wisconsin,53210,43.06,-87.96,0,4,55,079,11047.13,Urban,26661.0,26868.0,26683.0,26837.0,2.55,10455.29411764706,10536.470588235296,10463.921568627451,10524.313725490198
107,2014-08-08,District Of Columbia,District of Columbia,20002,38.89,-77.03,0,4,,,9969.54,Urban,56646.0,57412.0,59659.0,61787.0,5.26,10769.201520912547,10914.828897338404,11342.015209125475,11746.57794676806
108,2014-08-08,Bernalillo,New Mexico,87107,35.11,-106.62,1,3,35,001,2110.81,Suburban,32237.0,31220.0,31374.0,30719.0,14.76,2184.078590785908,2115.1761517615178,2125.609756097561,2081.2330623306234
109,2014-08-06,Kern,California,93305,35.39,-118.98,3,1,06,029,6336.54,Urban,37871.0,38291.0,38793.0,39114.0,5.93,6386.340640809444,6457.166947723441,6541.821247892074,6595.952782462057
110,2014-08-04,Fulton,Georgia,30314,33.75,-84.42,0,5,13,121,4716.21,Urban,21226.0,23468.0,23450.0,25142.0,4.67,4545.182012847966,5025.267665952891,5021.413276231264,5383.7259100642395
